Unnamed: 0,id,stateId,countyId,cityId,country,datePostedString,is_bankOwned,is_forAuction,event,time,price,pricePerSquareFoot,city,state,yearBuilt,streetAddress,zipcode,longitude,latitude,hasBadGeocode,description,currency,livingArea,livingAreaValue,lotAreaUnits,bathrooms,bedrooms,buildingArea,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,hasPetsAllowed,homeType,county
1915,94952-300263835,9,20875,26469,USA,2021-06-22,0,0,Listed for sale,1624320000000.0,460000.0,0.0,Petaluma,CA,0,21 Valen Way,94952.0,-122.72078704833984,38.281211853027344,0,Special West Petaluma Estate Parcel! Just minutes from town yet feels worlds away. Gently sloping rolling land to build your dream home on. Zoned for Assessory Dwelling Unit as well. Last lot of 7 to be built in this private tucked away neighborhood of custom homes. The well is already in for you and there is natural gas at the lot line. Buyer to verify all information with Permit Sonoma. Easy access to Hwy. 101 and all that Petaluma has to offer!,USD,0.0,0.0,Acres,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,LOT,Sonoma County
33910,92386-17622149,9,113893,30459,USA,2021-06-19,0,0,Listing removed,1624320000000.0,279900.0,340.0,Sugarloaf,CA,1981,462 Imperial Ave,92386.0,-116.83231353759766,34.24379348754883,0,Cute cabin/home in the heart of beautiful Sugarloaf. Vaulted ceilings in Livingroom area making the space feel big & open. Pine wainscoting in Livingroom & Bedrooms rock wood burning fireplace. Sit on the front deck with a cup of coffee & enjoy the fresh mountain air. Big beautiful pine trees giving cabin/home a great feeling. Close to all Big Bear has to offer. Skiing Lake activities Golfing Hiking Big Bear Village for entertainment dining shopping. New flooring New ceiling fans installed on 7/6/21,USD,824.0,824.0,sqft,1.0,2.0,0.0,0,0.0,0,One,0,0,0,0,SINGLE_FAMILY,San Bernardino County
17621,94937-19275658,9,228892,8646,USA,2021-07-05,0,0,Listed for sale,1625443200000.0,1200000.0,559.0,Inverness,CA,1998,95 Sunnyside Dr,94937.0,-122.84503936767578,38.07168197631836,0,"""Custom home with stunning canyon views + all the privacy you desire. Situated in the quaint + quiet town of Inverness this home encompasses all youve imagined + more. Featuring 3 beds + 2.5 baths bursting w/light filled living spaces + incredible views this meticulously built + maintained home is primed for you to cultivate your dream sanctuary. The gorgeous woodwork + open beam ceilings create an inviting space perfect for a primary residence a weekend getaway a writers retreat - the uses are endless. Take in the views from one of the many decks design a custom oasis in the backyard + simply feel at home in a space that is as comfortable as it is unique. This home is sprinklered has a metal roof + new fiber-cement siding. With the immense privacy of the +/- 1.52 acres you feel worlds away while being just minutes to the town of Inverness Pt. Reyes National Seashore Tomales Bay beaches hiking trails kayaking - everything the outdoor enthusiast could want. Welcome home!""",USD,2146.0,2146.0,Acres,3.0,3.0,2146.0,1,0.0,1,Multi/Split-Three Or More,0,0,0,0,SINGLE_FAMILY,Marin County
31679,92620-250351700,9,80791,52650,USA,2021-07-11,0,0,Sold,1493683200000.0,664000.0,431.0,Irvine,CA,2017,149 Bishop Lndg,92620.0,-117.75281524658205,33.71065902709961,0,Rarely on the market this corner two bedroom and two bathroom upper level townhome in Eastwood Village is highly sought after! With its stunning and highly upgraded finishes beyond the builder upgrades it will go quickly! The largest and open floor plan exudes lots of light with fully retractable sliders that opens to a large balcony perfect for entertaining and relaxing! Nothing has been overlooked from the built-in shoe or storage cabinet at the entry to the great room with remote control blinds a large ceiling fan extra built in cabinets with Ceaser stone counters throughout solid core doors and so much more! Bright white kitchen with large island extra strong dual trash receptacles upgraded 5 piece SS gas range/appliances and tasteful backsplash makes it perfect for a chef! The extra office space has beautifully upgraded built-in cabinets including custom bookcases and an integrated pullout drawer for the printer. Exquisite LVP flooring and designer carpet in the bedrooms add to this wonderful layout! Upstairs inside laundry with extra cabinets and attached two car garage with plenty of storage a tankless water heater and conditioner plus an electric car charging unit makes this home a slam dunk! The Eastwood community has incredible amenities with multi-purpose rooms multiple pools spas basketball tennis/sport courts playground parks trails and so much more! To include having access to award winning Irvine Unified schools: Eastwood Elementary Sierra Vista Middle School and Northwood High School. Great location close to the 133 5 241 405 73 261 Irvine Spectrum UCI The Great Park and variety of local shopping centers! This one won’t last!,USD,1539.0,1539.0,sqft,2.0,2.0,0.0,1,2.0,1,One-Two,0,1,0,0,CONDO,Orange County
27845,92705-25197428,9,31319,40081,USA,2021-07-12,0,0,Price change,1626048000000.0,1249000.0,686.0,Santa Ana,CA,1958,12531 Singing Wood Dr,92705.0,-117.79332733154295,33.745811462402344,0,"""5 Bedrooms 2 1/2 bathroom ** This Ranch Style Custom Built Home is calling you. ** One of the largest lots in the neighborhood! This spacious 4-bedroom 2-bath also consist of a newly built mother-in-law suite consisting of its own bathroom with stand-up shower and separate entry from the main house. The stunning guest bath features a large seated jacuzzi style tub with adjustable pressure jets granite countertops. This gem has upgrades in every part of the home; from the gorgeous brand-new kitchen counter tops to the landscaping and newly installed drip system to the beautiful backyard that features a built in BBQ on an outdoor island with direct power and gas hook ups. Sit back and relax under the new fully covered patio with recesses lighting and ceiling fans. This backyard also features an additional 2 car garage that can easily be converted into a work shop. The side yard has cement placed with plenty of space for RV or boat parking.  This home has been passed down from generation to generation originally built by the current owners grandmother in 1958. Its been well kept and maintained by the same people since the day it was built. Come view and make an offer today! This house wont last long!""",USD,1822.0,1822.0,Acres,2.0,4.0,0.0,1,3.0,1,0,0,0,0,0,SINGLE_FAMILY,Orange County
28705,95008-19664958,9,44876,17272,USA,2021-06-29,0,0,Listed for sale,1624924800000.0,1750000.0,1061.0,Campbell,CA,1978,1159 Glenblair Way,95008.0,-121.9695816040039,37.27005004882813,0,Fantastic location on a quiet cul-de-sac. Updated and ready for move-in! Worry-free new roof new stainless steel appliances new fireplace and hearth new primary bathroom new irrigation system and more!  The sunny family room opens to the private patio and yard. Wonderful primary suite with newer bathroom including stall shower convenient sliding doors open to the backyard. The refreshed garden includes new irrigation and planter box perfect for organic gardening. Easy access location for commuters. Top Campbell Schools: Capri Elementary Rolling Hills Middle and Westmont High.,USD,1649.0,1649.0,sqft,2.0,3.0,0.0,0,0.0,0,0,0,0,0,0,SINGLE_FAMILY,Santa Clara County
17928,95567-2110924978,9,232645,22973,USA,2021-05-02,0,0,Price change,1619913600000.0,549000.0,0.0,Smith River,CA,0,100 Harmers Beach Rd,95567.0,-124.20442199707033,41.98338317871094,0,OCEANFRONT LAND! Extremely UNIQUE & One-of-a-Kind BEACHFRONT settings. Breathtaking oceanfront lot ready for you to build your dream house! Up close views of crashing whitewater ocean waves. Coastline & Prince Island views! Unforgettable sunsets. Easy direct beach access. Approx 1.61 acres in Smith River CA near OR/CA state line. Gated private entry paved roadway. Electric & water connected. Septic approved. Privacy w/only 2 other neighbors. No flood insurance required. Shown by Appointment only.,USD,0.0,0.0,Acres,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,LOT,Del Norte County
10951,94117-59700230,9,136378,20330,USA,2021-06-18,0,0,Listed for sale,1623974400000.0,769000.0,1080.0,San Francisco,CA,1900,1705 Page St #4,94117.0,-122.44903564453124,37.77054977416992,0,"""You dont need flowers in your hair to live here but you might want to.  Centrally located Upper Haight condo with a great vibe and opportunity for introspection or exploration its up to you.  For the outdoorsy types the Panhandle and Golden Gate Park are close at hand while for more structure the vibrant Haight Ashbury Cole Valley USF and UCSF are nearby.  Period detail and 11-foot ceilings are signatures in this Victorian Era structure.  Large windows hardwood floors a decorative fireplace and paneled wainscotting grace the living room while the former butlers pantry with its built-in cabinetry serves as a home office.  Self-managed six-unit HOA in a transit friendly neighborhood.""",USD,712.0,712.0,sqft,1.0,1.0,712.0,0,0.0,0,One,0,0,0,1,CONDO,San Francisco County
6656,95688-15694554,9,77998,41446,USA,2021-02-23,0,0,Price change,1625184000000.0,370000.0,0.0,Vacaville,CA,0,3996 Estate Dr,95688.0,-122.00454711914062,38.44988632202149,0,"""Opportunity to build your dream home! Nestled in Vacavilles rolling English Hills this property wows with amazing views.  There are 2 parcels of land that will be sold together.  The first is 4.87 acres and the second is .13 acres giving you a full 5 acres.  Plenty of room to build a home or two and raise horses goats and chickens. Try your hand at organic gardening or plant your own personal vineyard! The possibilities are endless!  There is an existing/buried septic tank and leach field.  The property offers 2 sources of water - RNVWD water and a private well.  The home on this property was lost in the LNU fire there are no structures left on this property.""",USD,0.0,0.0,Acres,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,LOT,Solano County
6362,93225-18967319,9,75364,24797,USA,2021-07-08,0,0,Listed for sale,1625702400000.0,289000.0,242.0,Frazier Park,CA,1988,6512 Ivins Dr,93225.0,-118.99565887451172,34.81884384155273,0,Great single story 3 Bedroom 2 bath home in Lake of the Woods with a garage on a paved road with an level easy access lot partially fenced,USD,1192.0,1192.0,sqft,2.0,3.0,0.0,1,1.0,1,One,0,0,0,0,SINGLE_FAMILY,Kern County
